Date,Close,High,Low,Open,Volume
20130102,70.84,71.02,70.3,71.02,12875582
20130103,70.74,71,70.445,70.98,9598228
20130104,71.55,71.73,71.01,71.24,11634731
20130107,71.4,71.53,71.19,71.5,7548751
20130108,71.41,71.65,71.25,71.31,9830721
20130109,71.73,71.85,71.5,71.64,7673216
20130110,72.19,72.38,71.74,71.81,11891155
20130111,72.35,72.58,72.16,72.19,7766724
20130114,72.56,72.79,72.37,72.6,7385928
20130115,72.37,72.44,72,72.25,7795015
20130116,72.58,72.815002,72.25,72.26,8780055
20130117,72.9,73.01,72.37,72.88,10573077
20130118,73.23,73.23,72.79,72.9,13564396
20130122,72.69,73.21,72.42,72.92,11471537
20130123,72.85,72.91,72.47,72.52,10155089
20130124,73.1,73.23,72.843399,72.96,9369713
20130125,73.92,73.93,73.06,73.13,10421557
20130128,73.62,74,73.43,73.96,9420940
20130129,74.41,74.62,73.64,73.67,12390703
20130130,74.09,74.8,74.01,74.45,9246397
20130131,73.92,74.36,73.78,74.08,10452547
20130201,74.18,74.42,74.08,74.14,10019482
20130204,74.11,74.25,73.56,73.56,9200667
20130205,74.66,74.82,74.47,74.49,10230794
20130206,75.39,75.39,74.52,74.57,12083995
20130207,75.06,75.2,74.68,74.82,9798177
20130208,75.48,75.61,74.73,75.17,8153554
20130211,75.41,75.5,75.05,75.28,5697146
20130212,75.8,75.86,75.42,75.42,7598878
20130213,75.66,75.87,75.37,75.79,8014888
20130214,75.81,76.09,75.38,75.5,9681846
20130215,76.16,76.16,75.51,75.72,10529175
20130219,76.96,77,75.96,76.03,9747837
20130220,76.65,76.97,76.54,76.79,7857956
20130221,76.87,77.02,76.38,76.47,9465751
20130222,76.25,76.49,75.97,76.39,8573799
20130225,75.57,76.66,75.57,76.47,10603690
20130226,75.75,76.34,75.5,75.88,10743510
20130227,76.32,76.45,75.6,75.68,8180984
20130228,76.11,76.49,76.11,76.23,11810994
20130301,76.7,76.77,75.73,75.79,9528747
20130304,77.2,77.28,76.73,76.73,12628151
20130305,77.66,77.71,77.44,77.56,9399329
20130306,77.39,77.74,77.22,77.69,8536851
20130307,77.75,77.96,77.59,77.62,7996589
20130308,78.19,78.22,77.7,77.84,8555429
20130311,78.44,78.52,77.84,77.92,8807527
20130312,78.56,78.69,78.21,78.5,8790845
20130313,78.55,78.67,78.2,78.52,7987068
20130314,79.1,79.1,78.49,78.67,10150106
20130315,79.19,79.24,78.62,78.62,18302440
20130318,78.81,79.19,78.7,78.72,8005857
20130319,78.86,79.09,78.5,78.98,7095710
20130320,79.45,79.61,79.17,79.18,8001282
20130321,79.01,79.5,78.77,79.12,8436540
20130322,79.74,79.74,79.02,79.11,6878401
20130325,79.68,79.94,79.47,79.83,9616509
20130326,80.85,80.8815,79.85,79.93,12683054
20130327,81.27,81.35,80.27,80.56,10703798
20130328,81.53,81.59,80.95,81.37,11335093
20130401,81.93,81.964996,81.28,81.39,7379930
20130402,82.69,82.69,81.9,82,10343271
20130403,82.07,82.95,81.57,82.74,12256404
20130404,82.41,82.72,81.925003,82.2,10303575
20130405,82.04,82.11,81.62,81.79,8581618
20130408,81.11,81.39,80.31,81.27,15833564
20130409,81.52,81.75,81.24,81.26,9112685
20130410,82.02,82.2,81.735001,81.83,7583115
20130411,82.32,82.96,82.08,82.14,9882969
20130412,82.74,82.74,82.17,82.25,6989079
20130415,81.71,83.09,81.71,82.72,12385815
20130416,83.44,83.54,82.07,82.33,12620569
20130417,83.9,84.43,83.29,83.36,13695585
20130418,83.18,84.3,83.03,83.96,9921415
20130419,84.49,84.57,83.47,83.51,10787943
20130422,84.83,84.93,84.195,84.59,6989805
20130423,85.45,85.68,84,84.99,8987297
20130424,84.39,85.74,84.28,85.68,9481742
20130425,85.22,85.44,84.34,84.54,8689508
20130426,85.12,85.49,84.805,85.3,6785901
20130429,85.58,85.89,84.91,85.02,8039981
20130430,85.23,85.7,84.89,85.39,12102081
20130501,84.23,85.13,83.88,84.5,12313701
20130502,85.16,85.21,84.17,84.44,8670010
20130503,85.75,85.99,85.45,85.58,9216677
20130506,84.68,85.78,84.55,85.78,8815951
20130507,85.53,85.57,84.63,84.87,9064264
20130508,85.46,85.6,84.93,85.48,8044549
20130509,85.15,85.691002,84.962997,85.45,8342217
20130510,85.76,85.76,85.181,85.29,7595332
20130513,85.85,86.07,85.44,85.56,6631530
20130514,86.97,87.08,85.76,85.76,10363203
20130515,87.64,87.88,86.94,86.94,13445477
20130516,87.45,87.77,87.06,87.33,9441996
20130517,88.09,88.2,87.41,87.47,11439498
20130520,88.01,88.2,87.81,88.1,7235972
20130521,88.59,88.64,87.79,87.94,10099587
20130522,88.46,89.99,88.2,88.7,13827735
20130523,87.21,87.97,87,87.11,14446889
20130524,86.82,87.03,86.49,86.8,10390046
20130528,87.61,88.29,87.27,87.54,8380624
20130529,85.65,87.16,85.14,87.08,11872285
20130530,85.99,86.31,85.68,85.71,7801107
20130531,84.18,85.99,84.18,85.68,13306174
20130603,84.71,84.71,83.37,84.28,11770698
20130604,84.1,85.03,83.56,84.72,9972061
20130605,83.68,85,83.48,83.91,9839006
20130606,84.46,84.46,82.65,83.59,10671700
20130607,84.91,85.18,84.4,84.96,8908932
20130610,85.14,85.71,84.73,85.01,8477075
20130611,84.69,85.02,84.13,84.76,8966971
20130612,83.74,85.5,83.7,85.18,8413294
20130613,84.91,84.96,83.080399,83.6,8573402
20130614,84.91,85.48,84.66,84.71,6357030
20130617,85.63,86.405,84.98,85.37,8429068
20130618,86.36,86.44,85.63,85.75,7234317
20130619,84.86,86.5,84.8,86.43,8288594
20130620,82.62,84.45,82.12,84.21,15173932
20130621,83.2,84.32,82.5,83,20718888
20130624,84.61,85.31,82.81,82.92,14777598
20130625,85.35,85.59,84.54,85.16,11241286
20130626,86.99,87.32,85.94,85.95,11966641
20130627,86.71,87.822403,86.49,87.53,8890595
20130628,85.86,87.38,85.85,86.72,11898240
20130701,86.63,87.64,85.5,85.72,9906010
20130702,86.57,87.2,86.21,86.65,8573755
20130703,86.78,87.04,86.1,86.54,3608615
20130705,87.87,87.88,86.92,87.58,5403977
20130708,88.59,88.99,87.97,88.09,12051769
20130709,88.88,89.08,88.36,88.65,9349609
20130710,89.24,89.48,88.81,88.88,7068374
20130711,89.67,89.93,89,89.81,8941310
20130712,89.99,89.99,89.38,89.69,7592885
20130715,90.4,90.81,89.76,89.91,13344861
20130716,90.4,91.66,90.13,91.04,11413015
20130717,90.13,90.97,89.88,90.58,12835591
20130718,90.17,90.949303,90.06,90.33,8329813
20130719,92.23,92.27,90.05,90.24,12506566
20130722,92.28,92.56,91.61,92.08,9916889
20130723,92.42,92.855003,92.11,92.39,8467942
20130724,92.36,92.66,91.75,92.65,6846208
20130725,92.57,92.75,91.75,92,7369026
20130726,92.83,92.93,91.653,92.32,8664440
20130729,93.21,93.39,92.61,92.63,7926934
20130730,93.17,93.97,93.02,93.47,8863157
20130731,93.5,94.42,93.19,93.23,11365794
20130801,93.77,94.4,93.705002,94.16,11098955
20130802,94.39,94.39,93.45,93.56,8503225
20130805,93.8,94.3,93.43,94.05,7192620
20130806,93.81,93.94,93.5,93.88,6415151
20130807,93.66,94.03,93.47,93.6,9060926
20130808,93.34,94.37,92.71,94.27,11090305
20130809,92.36,93.39,91.78,93.39,12135904
20130812,92,92.77,91.754997,92.08,11013016
20130813,93.01,93.35,91.76,91.89,10099808
20130814,90.7,92.95,90.51,92.79,12718622
20130815,89.55,90.41,89.09,90.32,12017159
20130816,89.37,89.802498,88.77,89.13,14100923
20130819,90.45,91.25,89.35,89.47,8687032
20130820,89.73,91.65,89.73,90.55,8559168
20130821,88.8,89.63,88.68,89.47,7941050
20130822,88.26,89.03,88.12,88.76,7192152
20130823,88.41,88.44,87.21,87.93,7714990
20130826,87.53,88.48,87.3899,88.36,6724482
20130827,86.17,87.08,85.96,86.97,9941186
20130828,86.53,86.91,85.88,86.36,8829179
20130829,86.57,87.14,85.99,86.41,5769149
20130830,86.41,86.78,85.85,86.78,7471672
20130903,86.42,87.3,86.03,86.89,7591412
20130904,86.9,87.245003,86.251,86.46,8462549
20130905,87.04,87.17,86.62,87,5656291
20130906,87.16,87.92,86,87.22,10038552
20130909,87.56,87.6,87.01,87.39,6824403
20130910,88.53,88.58,87.85,88.14,8659086
20130911,89.23,89.27,88.144997,88.63,8098584
20130912,89.01,89.57,88.88,89.3,7939042
20130913,88.57,89.25,88.205002,89.13,7738679
20130916,89.03,89.57,88.83,89.43,7581044
20130917,89.06,89.22,88.58,89.05,6292199
20130918,89.91,89.91,88.3,88.91,10116234
20130919,90.07,90.2,89.79,90.05,6721349
20130920,89.68,90.72,89.68,90.2,14724337
20130923,89.09,89.75,88.81,89.43,7376743
20130924,88.22,89.2,88.15,89.02,7797489
20130925,87.08,88.47,87.07,88.42,7494052
20130926,87.07,87.703201,86.72,87.28,6400581
20130927,86.73,86.94,86.44,86.81,5462520
20130930,86.69,86.95,86.15,86.33,7971541
20131001,87.47,87.49,86.26,86.59,6320028
20131002,87.29,87.29,86.44,87.13,6383573
20131003,86.58,87.4,86.28,87.19,7731645
20131004,87.31,87.415001,86.56,86.82,6053847
20131007,86.59,86.98,86.29,86.7,5705238
20131008,85.61,86.74,85.57,86.62,8672305
20131009,85.96,86.23,85.5,85.93,8015121
20131010,87.78,87.78,86.7,86.72,8649144
20131011,89.45,89.48,88.02,88.62,8449844
20131014,89.8,89.89,88.63,88.83,9198573
20131015,89.93,91.46,89.93,90.33,11032666
20131016,91.11,91.17,90.16,90.42,8116016
20131017,91.97,92,90.77,90.87,8575026
20131018,91.63,92.05,91.14,91.75,9082602
20131021,91.2,91.63,90.77,91.63,6940710
20131022,92.36,92.56,91.495003,91.53,9645197
20131023,92.1,92.43,91.52,92.07,6452085
20131024,92.35,92.99,92.14,92.65,5254262
20131025,92.09,92.27,91.78,92.04,6080485
20131028,92.39,92.8,91.92,91.96,6550970
20131029,93.14,93.175003,92.58,92.8,6097163
20131030,92.79,93.45,92.65,93.27,6298491
20131031,92.61,93.35,92.32,92.85,7774133
20131101,93.37,93.579903,92.380096,92.380096,6840971
20131104,93.03,93.5,92.43,93.46,6862730
20131105,92.81,92.95,92.28,92.54,5357054
20131106,93.04,93.2,92.72,93.03,5301288
20131107,92.69,93.35,92.69,93.19,6123007
20131108,94.05,94.1,92.56,92.63,7230331
20131111,94.29,94.64,93.94,93.97,4723327
20131112,93.56,94.09,93,93.98,7643136
20131113,93.34,93.45,92.32,93.36,8954791
20131114,93.92,94.14,93.4,93.4,7045942
20131115,94.39,94.4,93.55,93.63,7068584
20131118,94.3,94.6,94.01,94.36,8491988
20131119,94.86,94.92,94,94.27,6624211
20131120,95.15,95.47,94.66,94.94,7085659
20131121,95.2,95.75,95.046997,95.46,6897627
20131122,95.25,95.58,94.39,94.39,6462244
20131125,95.63,95.99,95.08,95.49,6375396
20131126,95.06,95.87,94.97,95.58,7267610
20131127,94.98,95.37,94.61,95.34,4603769
20131129,94.66,95.5,94.43,95.23,4106795
20131202,94.28,94.659698,93.964996,94.41,5828580
20131203,93.97,94.56,93.51,94.2,9065252
20131204,93.63,94.25,93.13,93.76,6218496
20131205,92.97,93.63,92.66,93.42,8667604
20131206,94.44,94.48,93.42,93.6,7280472
20131209,94.44,94.48,93.7,94.3,6974541
20131210,94.14,94.79,93.96,94.58,7576606
20131211,93.11,94.45,93.03,94.4,9424296
20131212,91.16,92.86,91.07,92.84,12285664
20131213,91.35,91.855003,91.08,91.46,7909466
20131216,91.37,92.32,91.16,91.42,6623019
20131217,90.66,91.33,90.5,91.3,8793968
20131218,92.64,92.66,89.77,90.95,9692564
20131219,91.98,92.4,91.415001,92.4,7339601
20131220,92.09,92.75,91.95,91.95,11264971
20131223,92.03,92.68,91.76,92.56,5320255
20131224,92.06,92.39,91.85,92.18,3147331
20131226,92.54,92.54,91.77,91.99,3459501
20131227,92.35,92.96,92.18,92.77,3511614
20131230,92.3,92.3,91.73,92.16,4370142
20131231,91.59,92.216003,91.151001,92.17,6348274
20140101,91.59,92.216,91.151,92.17,6348274
20140102,91.03,91.73,91.01,91.14,5921167
20140103,91.85,92.22,91.26,91.29,5637762
20140105,91.85,92.22,91.26,91.29,5637762
20140106,92.33,92.75,91.87,91.93,7467811
20140107,94.29,94.62,92.99,93.04,11089742
20140108,94.16,94.6,93.88,94.17,9097188
20140109,94.73,95.38,94.09,94.94,7952774
20140110,94.74,94.975,94.14,94.64,6700178
20140112,94.74,94.975,94.14,94.64,6700178
20140113,94.5,94.99,94.06,94.37,9594869
20140114,94.72,94.9,94.32,94.6,7567457
20140115,94.8,95.2701,94.51,94.65,7423588
20140116,94.64,95.0884,94.23,94.6,8401397
20140117,95.06,95.17,94.38,94.72,13815121
20140119,95.06,95.17,94.38,94.72,13815121
20140120,95.06,95.17,94.38,94.72,13815121
20140121,94.03,95.1,92.62,94.93,16368694
20140122,94.32,94.55,93.54,93.99,8897354
20140123,92.74,93.8,92.41,93.74,9322328
20140124,90.61,92.61,90.61,92.12,10661597
20140126,90.61,92.61,90.61,92.12,10661597
20140127,89.94,90.76,89.85,90.3,8692336
20140128,90.1,90.6,89.79,90.58,8279490
20140129,88.9,89.71,88.53,89.47,11168264
20140130,89.5,89.78,89.01,89.62,6876827
20140131,88.47,89.34,88.15,89.01,12198893
20140202,88.47,89.34,88.15,89.01,12198893
20140203,86.78,88.78,86.61,88.75,13950813
20140204,86.62,87.28,86.09,86.93,11438774
20140205,87.28,87.67,86.48,86.49,10678430
20140206,88.75,88.76,87.55,87.63,10038015
20140207,90.04,90.04,88.61,88.92,9526254
20140209,90.04,90.04,88.61,88.92,9526254
20140210,91.07,91.08,89.8,90.24,8080445
20140211,92.97,92.97,90.95,91.09,11581143
20140212,92.42,92.99,91.95,92.95,7699343
20140213,92.56,92.62,91.71,92,5926351
20140214,92.76,92.945,92.0282,92.6,5524615
20140216,92.76,92.945,92.0282,92.6,5524615
20140217,92.76,92.945,92.0282,92.6,5524615
20140218,92.17,92.85,92.09,92.77,6935397
20140219,91.64,92.75,91.57,92.15,7693621
20140220,92.38,92.73,91.31,91.69,8160140
20140221,91.52,92.245,91.45,91.86,7381439
20140223,91.52,92.245,91.45,91.86,7381439
20140224,91.11,92.06,91.1,91.45,8407203
20140225,91.11,91.87,90.66,91.59,6387063
20140226,91.11,91.54,90.77,91.11,6334213
20140227,91.36,91.42,90.75,91.16,7040593
20140228,92.12,92.64,91.06,91.42,9644505
20140302,92.12,92.64,91.06,91.42,9644505
20140303,91.56,91.98,90.83,91.13,7506786
20140304,93.34,93.46,92.25,92.47,8796989
20140305,92.59,93.3,92.38,93.27,6843672
20140306,92.89,93.65,92.82,93.19,7718786
20140307,93.32,93.48,92.6901,93.37,6792275
20140309,93.32,93.48,92.6901,93.37,6792275
20140310,93.45,93.49,92.79,93.17,4880978
20140311,93.49,93.75,93.09,93.71,5837194
20140312,93.6,93.62,92.65,92.82,6159381
20140313,93,94.2,92.98,93.85,7659366
20140314,92.81,93.44,92.46,92.88,7337843
20140316,92.81,93.44,92.46,92.88,7337843
20140317,93.93,94.18,93.18,93.26,5876845
20140318,93.94,94.24,93.48,93.9,5891904
20140319,93.59,94.36,92.92,93.89,5937603
20140320,94.12,94.19,92.96,93.52,5727520
20140321,95.93,95.93,93.88,94.77,24005402
20140323,95.93,95.93,93.88,94.77,24005402
20140324,95.2,95.43,94.54,95.3,13949809
20140325,97.38,97.7,95.7,95.7,14167327
20140326,97.05,98.47,97.05,97.51,11215165
20140327,97.28,97.7,96.26,97.08,8694613
20140328,97.44,98.22,96.96,97.51,8815993
20140329,97.44,0,0,97.51,0
20140330,97.44,98.22,96.96,97.51,8815993
20140331,98.23,98.6,97.61,98,7545682
20140401,97.94,98.68,97.37,98.31,7068696
20140402,98.23,98.39,97.37,98.01,7995623
20140403,98.26,98.34,97.53,97.97,5476117
20140404,98.42,99.38,98.32,98.62,10310236
20140406,98.42,99.38,98.32,98.62,10310236
20140407,97.89,99.36,97.83,98.39,11410399
20140408,98.06,98.725,97.5,98.03,9601881
20140409,98.95,99,97.78,98.42,8921922
20140410,96.54,98.93,96.52,98.86,9668076
20140411,96.87,97.199,96.05,96.2,8711166
20140413,96.87,97.199,96.05,96.2,8711166
20140414,97.14,97.36,96.25,97.28,8617844
20140415,99.2,99.21,98.05,98.45,14005235
20140416,98.75,99.71,98.07,99.57,11308070
20140417,98.96,99.65,98.69,98.69,9153584
20140420,98.96,99.65,98.69,98.69,9153584
20140421,100,100.13,98.67,99.01,7032062
20140422,100.18,100.75,99.74,100,7937911
20140423,100.22,100.56,99.92,100.24,5880223
20140424,99.96,100.37,99.55,100.24,6154027
20140425,99.79,100.26,99.4,99.97,5897880
20140427,99.79,100.26,99.4,99.97,5897880
20140428,101.34,101.5,100.1201,100.56,8793329
20140429,101.03,101.98,100.96,101.63,7811264
20140430,101.29,101.67,100.7,100.84,8519913
20140501,100.53,101.03,99.93,100.77,6590499
20140502,99.31,100.38,98.88,100.17,8744242
20140504,99.31,100.38,98.88,100.17,8744242
20140505,100,100.17,99.04,99.29,5438240
20140506,99.51,100.02,99.51,100.02,5795969
20140507,100.91,101.045,99.35,99.85,8720814
20140508,100.5,101.09,100.36,100.67,5668825
20140509,100.91,101.25,100.41,100.86,5691707
20140511,100.91,101.25,100.41,100.86,5691707
20140512,100.52,101.24,100.42,101.24,7437341
20140513,101.02,101.49,100.625,100.9,6183174
20140514,100.87,101.1,100.77,100.95,4187810
20140515,100.69,100.84,100.41,100.64,7011935
20140516,100.58,100.89,100.14,100.57,6517090
20140518,100.58,100.89,100.14,100.57,6517090
20140519,100.64,100.93,100.125,100.22,6997400
20140520,100.25,100.98,99.96,100.81,5438763
20140521,101.14,101.2,100.53,100.6,5302472
20140522,100.96,101.01,100.08,100.58,5124957
20140523,100.98,101.16,100.67,101.04,5276064
20140525,100.98,101.16,100.67,101.04,5276064
20140526,100.98,101.16,100.67,101.04,5276064
20140527,100.81,101.36,100.265,101.1,4524361
20140528,100.3,100.93,100.12,100.67,4353776
20140529,100.76,100.795,100.15,100.56,3685692
20140530,101.46,101.54,100.55,100.7,5972931
20140601,101.46,101.54,100.55,100.7,5972931
20140602,102.17,102.26,101.01,101.54,5852618
20140603,102.46,102.6,101.84,101.91,6683665
20140604,102.68,102.71,101.94,102.23,5608597
20140605,103.22,103.36,102.42,102.78,4731051
20140606,103.18,103.33,102.8386,103.25,4625104
20140607,103.22,103.36,102.42,102.78,4731051
20140609,103.22,103.23,102.68,103.07,3748814
20140610,104.1,104.12,102.77,103.47,5797720
20140611,103.32,104.15,103.133,103.81,5960610
20140612,102.53,103.21,102.51,103.18,5935011
20140613,102.53,102.65,102.17,102.51,4302188
20140616,102.45,102.89,101.84,102.52,5645516
20140617,101.93,102.2,101.38,102.13,4835591
20140618,102.81,102.83,101.8603,101.91,5449119
20140619,103.81,103.87,102.81,102.93,5481511
20140620,105.27,105.48,104.07,104.37,12464629
20140623,104.75,105.12,104.44,104.91,6066848
20140624,104.59,105.23,104.55,104.63,5915291
